Player,Presenze,Riusciti,%,score
Román Aureliano Torres Morcillo,3,1,1.0,0.3731343283582089
Nemanja Matić,3,3,0.75,0.6086956521739132
Dušan Tadić,3,3,0.3333333333333333,-3.0954795555076062
Adem Ljajić,3,6,0.75,2.7594800896807175
Filip Kostić,3,3,0.6,-0.05096135617572817
Aleksandar Mitrović,3,1,0.3333333333333333,-1.356521739130435
Heung-Min Son,3,12,0.7058823529411765,1.9222978688982537
Hee-Chan Hwang,3,6,0.5454545454545454,-0.5868464494618377
Jae-Sung Lee,3,3,0.42857142857142855,-1.6486918288276526
Marco Reus,3,1,0.5,0.1317829457364339
Thomas Müller,3,1,0.3333333333333333,-1.3838383838383839
Toni Kroos,3,5,1.0,3.539608249499878
Manuel Neuer,3,1,0.5,-0.6666666666666667
Young-Gwon Kim,3,2,1.0,1.3870967741935483
Yong Lee,3,2,0.6666666666666666,0.2492551413414723
Hyun-Soo Jang,3,1,1.0,0.5573770491803278
Joshua Kimmich,3,1,0.5,-0.38383838383838387
Sergej Milinković-Savić,3,5,0.4166666666666667,-3.884814702206007
Amr Medhat Warda,3,3,1.0,2.686406100359588
Mohamed Naser Elsayed Elneny,3,0,0.0,-1.0
Cédric Ricardo Alves Soares,3,2,1.0,1.921259842519685
João Filipe Iria Santos Moutinho,3,1,1.0,0.6434782608695652
Timo Werner,3,3,0.6,0.024755119823800076
Jorge Resurrección Merodio,3,2,1.0,1.216161616161616
Bryan Ruiz González,3,8,0.7272727272727273,2.6101484383268048
Mohamed Abdul Shafy Sayed Abouezeid,3,4,0.8,0.8240437158469944
André Miguel Valente Silva,3,3,1.0,2.7255063921761327
Rafael Márquez Álvarez,3,1,1.0,0.4565217391304348
Ricardo Andrade Quaresma Bernardo,3,6,0.6666666666666666,2.0704542414173237
Hamdi Nagguez,2,3,0.6,0.532184984901237
Ricardo Guardia Avila,2,2,0.6666666666666666,0.6891599949167617
John Guidetti,2,0,0.0,-1.0
Luis Fernando Muriel Fruto,2,1,0.25,-2.626865671641791
Eduardo Antonio Salvio,2,3,0.6,0.9163040916009889
Mohammad Ibrahim Al Sahlawi,2,1,0.5,-0.46376811594202894
Johann Berg Guðmunds­son,2,2,0.6666666666666666,0.33545986177565124
Douglas Costa de Souza,2,7,0.875,4.677445458451758
Giorgian Daniel De Arrascaeta Benedetti,2,0,0.0,-1.0
Hussain Al Mogahwi,2,1,0.5,-0.061538461538461764
Medhi Amine El Mouttaqi Benatia,2,1,1.0,1.3225806451612903
Chul Hong,2,1,0.5,-0.6666666666666667
Óscar Esau Duarte Gaitán,2,2,1.0,1.4877192982456142
Johan Alberto Venegas Ulloa,2,2,0.5,-0.7403601229688186
Francisco Javier Calvo Quesada,2,2,0.6666666666666666,0.368421052631579
Jesús Manuel Corona Ruíz,2,2,0.6666666666666666,0.5606299212598425
Michael Amir Murillo Bermudez,2,3,1.0,2.8153846153846147
Marcos Danilo Ureña Porras,2,1,0.5,-0.35652173913043483
Taisir Jabir Al Jassim,2,0,0.0,-3.0
Seung-Woo Lee,2,1,0.25,-2.3582089552238807
Andrew Nabbout,2,1,0.5,-0.03937007874015752
Saeid Ezatolahi Afagh,2,1,0.3333333333333333,-1.3582089552238807
Yehya Sulaiman Ali Al-Shehri,2,0,0.0,-3.0
Sung-Yeung Ki,2,1,0.5,-0.6268656716417911
Milad Mohammadi,2,1,1.0,0.768421052631579
Joel Nathaniel Campbell Samuels,2,8,0.7272727272727273,2.8871674743069695
Daniel Colindres Solera,2,0,0.0,-2.0
Ayoub El Kaabi,2,0,0.0,-2.0
Abdiel Arroyo Molinar,2,0,0.0,-1.0
Seon-Min Moon,2,1,0.5,-0.30188679245283023
José Ignacio Fernández Iglesias,2,5,1.0,3.540108450596902
Mohamed Salah,2,6,0.5454545454545454,-1.702652931465391
"Cheikh N""Doye",2,0,0.0,-1.0
Alfred John Momar N''Diaye,2,1,1.0,0.3535353535353535
Nabil Dirar,2,4,0.8,2.2503381281426535
